url32, 12, 0.0042234
url1, 28, 0.0034184
url19, 95, 0.0031308
url12, 18, 0.0029675
url10, 53, 0.0029230
url21, 0, 0.0027848
url24, 0, 0.0027810
url62, 0, 0.0027768
url96, 24, 0.0020577
url45, 30, 0.0019996
url39, 10, 0.0019968
url8, 98, 0.0018821
url43, 32, 0.0018773
url11, 22, 0.0017485
url9, 20, 0.0017152
url44, 33, 0.0017098
url13, 38, 0.0016557
url34, 9, 0.0016548
url2, 22, 0.0016440
url35, 99, 0.0016376
url14, 89, 0.0016052
url49, 26, 0.0015966
url17, 27, 0.0015940
url4, 15, 0.0015747
url48, 33, 0.0015744
url3, 8, 0.0015742
url18, 42, 0.0015739
url41, 25, 0.0015638
url15, 66, 0.0015623
url31, 12, 0.0015610
url16, 38, 0.0015585
url7, 24, 0.0015575
url46, 31, 0.0015564
url6, 0, 0.0015456
url40, 27, 0.0015365
url99, 4, 0.0015285
url98, 4, 0.0015217
url94, 4, 0.0015197
url42, 18, 0.0015187
url36, 10, 0.0015143
url37, 11, 0.0015132
url54, 1, 0.0015132
url47, 8, 0.0015119
url56, 2, 0.0015118
url33, 2, 0.0015105
url38, 8, 0.0015104
url51, 1, 0.0015096
url52, 1, 0.0015079
url63, 0, 0.0015077
url78, 0, 0.0015073
url90, 8, 0.0015072
url55, 1, 0.0015061
url74, 0, 0.0015051
url79, 0, 0.0015049
url5, 4, 0.0015046
url84, 0, 0.0015045
url75, 0, 0.0015042
url93, 1, 0.0015041
url82, 0, 0.0015041
url73, 0, 0.0015037
url81, 0, 0.0015036
url85, 0, 0.0015031
url97, 2, 0.0015029
url22, 0, 0.0015028
url89, 0, 0.0015025
url66, 0, 0.0015021
url88, 0, 0.0015019
url77, 0, 0.0015019
url64, 0, 0.0015017
url76, 0, 0.0015017
url23, 0, 0.0015017
url27, 0, 0.0015017
url53, 1, 0.0015017
url26, 0, 0.0015014
url71, 0, 0.0015013
url65, 0, 0.0015012
url60, 0, 0.0015011
url28, 0, 0.0015011
url57, 1, 0.0015011
url30, 11, 0.0015009
url67, 0, 0.0015009
url91, 0, 0.0015009
url20, 0, 0.0015009
url61, 0, 0.0015008
url59, 1, 0.0015008
url87, 0, 0.0015008
url72, 0, 0.0015007
url80, 0, 0.0015006
url29, 0, 0.0015005
url25, 0, 0.0015005
url0, 42, 0.0015005
url68, 0, 0.0015004
url83, 0, 0.0015004
url95, 5, 0.0015004
url92, 0, 0.0015004
url70, 0, 0.0015003
url69, 0, 0.0015003
url58, 1, 0.0015003
url86, 0, 0.0015001
url50, 0, 0.0015001
